증상코드,증상분류 한글,증상목록코드,증상명,쉬운설명
o,털/피부,o033,"과신전, 과탄력성 피부",피부가 비정상적으로 늘어나요
o,털/피부,o034,"축축한 피부, 털","피부, 털이 축축해요"
o,털/피부,o035,"피부 균열, 열구",피부에 균열이 있어요
o,털/피부,o036,"탈모, 무모증",탈모에요
o,털/피부,o037,"털이 광택이 없이 덥수룩 하거나 지저분함, 더러운 털, 덥수룩하고 더러운 털",털에 광택이 없고 더러워요
o,털/피부,o038,"털의 과도한 색소침착 , 전신 혹은 국소",털의 색소침착이 심해요
o,털/피부,o039,"털의 색소침착 감소, 국소성, 백모증, 털 색소침착 감소, 전신",털이 탈색됐어요
o,털/피부,o040,다모증,털이 많고 길어요
o,털/피부,o041,"거친 피모, 곤두선 털, 털이 심하게 뻣뻣함",털이 거칠고 곤두서요
o,털/피부,o044,"피부와 털에서 기생충 관찰, 피부, 털, 깃털에 기생충, 피부 , 털에 기생충 보임","피부, 털에 기생충이 있어요"
o,털/피부,o045,"피부 또는 피하의 종창, 종괴, 결절",피부에 뭐가 났어요
p,행동,p001,"다식증, 과도한 식욕",식욕이 너무 과도해요
p,행동,p002,"식욕부진, 식욕감소, 식욕절폐",식욕이 너무 떨어지고 부진해요
p,행동,p003,"이식증 , 이기증(이물 섭취 기호증)",못먹는 거를 먹으려 해요
p,행동,p004,"진전, 전율, 떨림",몸을 떨어요
p,행동,p005,"운동기피, 쉽게 지침",운동을 싫어하고 쉽게 지쳐요
p,행동,p006,토끼처럼 뜀,토끼처럼 껑충껑충 뛰어요
p,행동,p007,"운동실조, 협조불능, 절뚝거림, 넘어짐","운동을 안 해요, 절뚝거려요"
p,행동,p008,이동거부,이동을 거부해요
p,행동,p010,진전,덜덜 떨어요
p,행동,p011,"혼수, 혼미",혼수상태에 빠졌어요
p,행동,p012,"방향 감각 상실, 기억 상실",방향감각이 없어요
p,행동,p013,머리 기울기,갸우뚱해요
p,행동,p014,선회운동,한쪽 방향으로 빙빙 돌아요
p,행동,p015,머리 박치기,박치기를 자꾸 해요
p,행동,p016,"걷다 앞으로 넘어짐, 목적없이 배회",가만히 있질 못 해요
p,행동,p017,"소리 계속 지르기, 소리가 커짐",계속 소리를 질러요
p,행동,p018,"지각과민, 예민함, 과다운동",지나치게 예민해요
p,행동,p019,"비정상적 또는 공격적 행동, 습성이 바뀜",공격성을 띄어요
p,행동,p020,"무기력, 침울, 졸림, 생기없음",움직임이 너무 없어요
p,행동,p021,"흥분, 헛소리, 광분",흥분을 가라앉히질 못 해요
p,행동,p022,"발작, 실신, 경련, 간질발작, 허탈","발작, 실신, 경련, 간질발작, 허탈"
p,행동,p023,"강직성 경련, 테타니",갑자기 뻣뻣하게 굳더니 경련해요
p,행동,p024,머리 흔들기,머리를 자꾸 흔들어요
p,행동,p025,수면과다 또는 수면감소,계속 자거나 안 자요
q,호흡기계 증상,q002,"비강점막의 궤양, 수포, 미란, 열상, 열창, 구진, 농포","비강점막의 궤양, 수포, 미란, 열상, 열창, 구진, 농포"
q,호흡기계 증상,q003,"비출혈, 코피",코피가 나요
q,호흡기계 증상,q004,화농성 비강 분비물,진한 콧물이 나와요
q,호흡기계 증상,q005,"점액성, 장액성, 수양성 비강 분비물, 점액성콧물",콧물이 심해요
q,호흡기계 증상,q006,비도내 섭취물(음식물),음식이 코로 들어갔어요
q,호흡기계 증상,q007,"호흡시 비정상적인 냄새, 구강의 악취",입냄새가 심해요
q,호흡기계 증상,q008,부비동 타진시 둔탁함,코 쪽을 두들기면 둔탁한 소리가 나요
q,호흡기계 증상,q009,"호흡곤란, 개구호흡, 그르렁거림, 가쁜호흡",입으로만 숨을 쉬어요
q,호흡기계 증상,q010,"호흡수 증가, 다호흡, 빠른호흡(빈호흡), 과호흡",과호흡 증세를 보여요
q,호흡기계 증상,q011,호흡수 감소,호흡이 적어졌어요
q,호흡기계 증상,q012,재채기,재채기를 해요 
q,호흡기계 증상,q013,기침,기침을 해요 
q,호흡기계 증상,q014,기침시 객혈,기침을 하면 피가 나요
q,호흡기계 증상,q015,"상부기도에서의 비정상 호흡음, 공기흐름폐쇄, 코고는 소리",코를 심하게 골아요
q,호흡기계 증상,q016,"비정상적인 폐, 흉강의 소리, 수포음, 약설음, 씨근거리는 소리, 마찰음",숨소리에서 쇳소리가 들려요
q,호흡기계 증상,q017,"감소된, 심장음과폐음의이상, 폐음의이상, 폐음의감소, 청색증폐음의감소, 폐음또한심음의이상, 감소되거나사라진폐음, 호흡음이없음",숨소리가 옅어요
q,호흡기계 증상,q018,목소리 변성,목소리가 변했어요
