,질병명,축종,정의,주요증상
176,악성 섬유성 조직구종(Malignant fibrous histiocytoma),"개, 고양이",섬유모세포와 조직구같은 형상의 조직학적 기초를 둔 이름으로 실질성 신생물,구토 기침 다호흡 빠른호흡(빈호흡) 과호흡 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리통증 뒷다리파행 경직 절름발이 뒷발통증 뒷발 발가락종창 종괴 등부위부어오름 종창 종괴 림프절종대 림프절병증 종창 종괴 머리 얼굴 귀 턱 코의종창 종괴 목부위종창 경부의종괴 무기력 침울 졸림 생기없음 복강외부종창 심방빈맥 빈박 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리종창 종괴(관절부/비관절부위포함) 전신파행 경직 절름발이 앞다리파행 경직 절름발이 앞발 발가락종창 종괴 전신허약 부전마비 마비 점막 피부창백 빈혈 체중감소 피부또는피하의종창 종괴 결절 호흡곤란 개구호흡 그르렁거림 가쁜호흡 흉부종창 흉부 가슴 늑골 흉골의종괴
177,안검내번 (entropion),"개, 고양이","안검의 가장자리의 부분적 또는 전체적인 내번",각막의궤양 미란 각막의부종 혼탁 각막혈관신생 판누스 결막 공막부종 결막 공막의발적 결막 공막의충혈 혈관의이상 눈물흘림 장액성분비물 축축한눈 눈부심 수명 눈의통증 안통 눈의화농성분비물 실명 시력상실 안검내번 눈꺼풀이속으로말림 안검연축 경련 안구함몰 눈이움푹꺼짐
178,안면신경 부전마비 또는 마비(Facial nerve paresis/paralysis),"개, 고양이","안면신경(제 7뇌신경)의 기능장애로 귀, 안검, 입술, 코의 근육이 마비되거나 약해지는 질병",각막의궤양 미란 눈물이적음 안구건조증 과도한침흘림 유연 입에거품 머리 얼굴의변형 만곡 머리 얼굴 귀 턱무기력 처짐 부전마비 마비 머리 얼굴 귀 턱 코의종창 종괴 눈의통증 안통 구강 혀의종창 종괴 안검하수 눈의화농성분비물
179,안와질병-사시(Orbital disease-strabismus),"개, 고양이"," 안구가 정상위치에서 편위, 만곡됨",사시 사팔뜨기 안구진탕 안구불수의적운동
180,알러지성 접촉성 피부염(Allergic contact dermatitis),"개, 고양이","알러지 유발물질의 접촉에 따른 피부의 반응으로 복부, 구강 주위, 안면부 등 피부에 소양감과 함께 홍반성 구진, 각질증식, 또는 수포가 나타나는 피부 질환 ", 과각화증 두꺼운피부 소양감 가려움 지각과민 예민함 과다운동 탈모 무모증 피부구진 피부균열 열구 피부농포 피부부종 피부색소과잉침착 피부수포 대수포 물집 피부인설 비듬 비늘 피부통증 피부플라크(반) 피부 털 깃털이축축함 피부 털의건조 피부의가피 딱지 피부의궤양 미란 찰과상 피부의화농성분비물 피부홍반 염증 발적
181,야토병 (Tularemia),"개, 고양이","Francisella tularensis을 병원균으로 보균토끼 및 다람쥐 등 야생동물로부터 직접 감염되거나 혹은 절족동물에 의하여 옮기는 인수공통전염병",간 비장종대 비장종대 간종대 구강점막의건조 구강점막의궤양 수포 구토 다호흡 빠른호흡(빈호흡) 과호흡 림프절종대 림프절병증 종창 종괴 머리 얼굴 귀 턱 코의종창 종괴 무기력 침울 졸림 생기없음 발열 고열 복강내부종괴 종창 유착 비강점막의궤양 수포 미란 열상 절창 구진 농포 심방빈맥 빈박 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 이동거부 저체온증 낮은체온 전신허약 부전마비 마비 체중감소 탈모 무모증 탈수 피부누관 공동형성 피부또는피하의종창 종괴 결절 피부 털 깃털이축축함 혀의궤양 수포 미란 궤양 수포 절창 열상 혈뇨 황달
182,타우린 결핍증(Taurine deficiency),"개, 고양이",고양이에게 필수 아미노산은 타우린의 섭취부족으로 나타나는 질환,암컷의불임증 저수태 유산 허약한새끼분만 사산 한배새끼수가적음 산자수가적음
183,에틸렌 글라이콜 중독(Ethylene glycol toxicity),"개, 고양이","에틸린 글라이콜이 포함된 물질의 섭취로 인한 중독증",거리감각불능 거리감각과대및과소 구강점막의울혈 홍반 발적 구강점막의궤양 수포 플라크(반) 농포 미란 절창 구토 기립불능 다우너 다뇨증 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 떨림 전율 오한 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 방향감각상실 기억상실 복강외부압박에따른통증 빈맥 빠른맥박 심박 산통 복통 서맥 느린심박동이나맥박 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 신장 요관촉진시통증 안구진탕 안구불수의적운동 앞다리반사이상(증가나감소) 운동실조 협조불능 절뚝거림 넘어짐 인두의궤양 수포 미란 구진 저체온증 낮은체온 적색뇨 갈색뇨 전신허약 부전마비 마비 지각과민 예민함 과다운동 진전 축동 동공축소 탈수 피부 귀 다리냉감 핍뇨 무뇨증 요정체 혀의궤양 수포 미란 궤양 수포 절창 열상 호흡곤란 개구호흡 그르렁거림 가쁜호흡 호흡시이상한냄새 구강의악취 혼수 혼미
184,엔세팔리토주노시스 (Encephalitozoonosis),"개, 고양이","Cytauxzoon cuniali 에 의하여 폐, 심장, 신장, 뇌에 임상증상이 발현되는 질병",거리감각불능 거리감각과대및과소 거친피모 곤두선털 급사 돌연사 기립불능 다우너 눈물흘림 장액성분비물 축축한눈 눈의화농성분비물 뒷다리양쪽부전마비 무기력 마비 무기력 침울 졸림 생기없음 발육정지 체중증가없음 성장지연 발작 실신 경련 간질발작 허탈 방향감각상실 기억상실 복부팽만 비정상적또는공격적행동 습성이바뀜 선회운동 소리계속지르기 소리가커짐 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 실명 시력상실 운동기피 쉽게지침 운동실조 협조불능 절뚝거림 넘어짐 전신허약 부전마비 마비 진전 체중감소 피부 털의건조
185,"연소성 다발성 관절염 (Juvenile polyarthritis, beagle pain syndrome)",개," 어린 비글에서 흔히 보고되는 전신적 괴사성 맥관염", 뒷다리통증 뒷다리파행 경직 절름발이 림프절종대 림프절병증 종창 종괴 목 경부 목구멍통증 목의경직 뻣뻣한목 발열 고열 앞다리통증 앞다리파행 경직 절름발이 전신파행 경직 절름발이
186,열사병과 고열(Heat stroke and hyperthermia),"개, 고양이","# 고열 : 체온이 정상범위(38℃∼39℃(101∼102℉)) 이상으로 상승하는 것으로 발열성 고열과 비발열성 고열로 구분됨# 열사병 : 신체의 열 발산 기전이 과도한 열을 조절하지 못할 때 발생하는 비발열성 고열의 한 형태# 악성고열 : 몇몇 마취제에 속발성으로 발생하는 희귀한 가족성의 비발열성 고열",거리감각불능 거리감각과대및과소 과도한침흘림 유연 입에거품 구강 혀의종창 종괴 구강점막의건조 구강점막의울혈 홍반 발적 구토 급사 돌연사 다호흡 빠른호흡(빈호흡) 과호흡 뒷다리양쪽부전마비 무기력 마비 무기력 침울 졸림 생기없음 발열 고열 발작 실신 경련 간질발작 허탈 부정맥 불규칙한심박및맥박 비출혈 코피 심방빈맥 빈박 사지마비 무기력 산동 확장된동공 상부기도의비정상호흡음 코고는소리 설사 하리 소리계속지르기 소리가커짐 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 약맥 소맥 운동실조 협조불능 절뚝거림 넘어짐 적색뇨 갈색뇨 전신허약 부전마비 마비 점상또는반상출혈 타박상 진전 점막 피부창백 빈혈 청색증 피부나점막이푸름 탈수 피부 털의건조 피부의열감 혈변 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미
187,염증성 장 질환(Inflammatory bowel disease : IBD),"개, 고양이","  임상증상과 함께 소장, 대장의 고유판내 염증성 세포 침윤으로 위장질환을 나타내는 질병",간 비장종대 비장종대 간종대 거친피모 곤두선털 구강점막의건조 구토 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 떨림 전율 오한 림프절종대 림프절병증 종창 종괴 무기력 침울 졸림 생기없음 발열 고열 복강외부압박에따른통증 복강내부종괴 종창 유착 복명(장연동음)의증가 복부팽만 복수 분변냄새의이상 심방빈맥 빈박 산통 복통 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심음의감소 이급후증 배변곤란 이식증 이기증(이물섭취기호증) 점액변 점액양분변 지방변 점막 피부창백 빈혈 체중감소 탈수 토혈증 폐포음감소 호흡음이없음 피부부종 혈변 혈변 분변내잠혈 호흡곤란 개구호흡 그르렁거림 가쁜호흡 호흡시이상한냄새 구강의악취 황달
188,오연성 폐렴(Aspiration pneumonia),"개, 고양이","약물의 흡입이나 사료의 오연, 괴사간균증에 의한 후두염이 있는 환축에서 삼출물을 흡인하여 일어나는 폐렴",급사 돌연사 기침 기침시객혈 다호흡 빠른호흡(빈호흡) 과호흡 무기력 침울 졸림 생기없음 무유증 유즙생산감소 정지 발열 고열 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 빈맥 빠른맥박 심박 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 점막 피부창백 빈혈 점액양비강분비물 장액성 수양성 청색증 피부나점막이푸름 체중감소 피부 귀 다리냉감 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 흉부 흉곽 늑골 흉골의통증
189,"외이도염, 중이염(Otitis externa and media)","개, 고양이"," 외이도염 : 외이도의 염증, 중이염 : 중이의 염증",거리감각불능 거리감각과대및과소 결막 공막의충혈 혈관의이상 구강통증 구강점막및혀의통증 귀긁기 귀의화농성 점액양분비물 귓밥이많음 악취 근긴장증 근경직증 기립불능 다우너 난청 귀머거리 동공부동 머리기울기 머리흔들기 무기력 침울 졸림 생기없음 머리 얼굴 귀 턱 코의종창 종괴 머리 얼굴 목의경련 근경련 머리 얼굴 턱 귀의통증 무기력 침울 졸림 생기없음 사시 사팔뜨기 선회운동 소양감 가려움 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 안검연축 경련 안검하수 안구진탕 안구불수의적운동 안구함몰 눈이움푹꺼짐 운동실조 협조불능 절뚝거림 넘어짐 제3안검탈출 순막의돌출 지각과민 예민함 과다운동 축동 동공축소 피부누관 공동형성 피부통증 피부홍반 염증 발적 후궁반장
190,운동실조(Ataxia),"개, 고양이","사지, 머리, 몸통의 운동 부조화를 야기하는 신경의 기능이상 ",거리감각불능 거리감각과대및과소 무기력 침울 졸림 생기없음 비정상적또는공격적행동 습성이바뀜 비정상적인자세 선회운동 실명 시력상실 안구진탕 안구불수의적운동 운동실조 협조불능 절뚝거림 넘어짐 진전 흥분 헛소리 광분
191,원발성 섬모 이상운동증(Primary ciliary dyskinesia),"개, 고양이","섬모의 기능 장애에 의한 선천성 질병", 각막의부종 혼탁 구강통증 구강점막및혀의통증 구개열 구순열 기침 다호흡 빠른호흡(빈호흡) 과호흡 동성부정맥 부정맥 불규칙한심박및맥박 림프절종대 림프절병증 종창 종괴 무기력 침울 졸림 생기없음 발열 고열 발육정지 체중증가없음 성장지연 비출혈 코피 상부기도의비정상호흡음 코고는소리 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 수척 건강상태불량 증체율불량 수컷불임 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 운동기피 쉽게지침 재채기 청색증 피부나점막이푸름 체중감소 탈수 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물
192,위장관 폐쇄(Gastrointestinal obstruction),"개, 고양이","  위, 십이지장, 소장부위에서 부분적이거나 전체적으로 섭식물에 대한     물리적인 저항등으로 인하여 인두, 식도, 대장, 직장등의 폐쇄로 운동성에 이상이 있는 경우",구토 모세혈관재충만시간지연 무기력 침울 졸림 생기없음 발열 고열 배변량감소 변비 배변안됨 복강외부종창 종괴 복강내부종괴 종창 유착 복부팽만 복수 산통 복통 설사 하리 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 약맥 소맥 이급후증 배변곤란 저체온증 낮은체온 사지마비 무기력 점액변 점액양분변 지각과민 예민함 과다운동 체중감소 탈수 토혈증 혈변 혼수 혼미 
193,"유루증, 눈물흘림증(Epiphora)","개, 고양이",눈물의 과잉생산과 배액장애로 눈물이 안검연으로부터 흘러넘치는 증상으로 안구통증을 야기하는 질환,눈물흘림 장액성분비물 축축한눈 안구돌출 털의과도한색소침착 전신혹은국소 피부 털 깃털이축축함
194,유방염 (Mastitis),"개, 고양이","유선에 병원체 감염에 의한 염증성 질환",구토 무기력 침울 졸림 생기없음 발열 고열 심방빈맥 빈박 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 유방염 비정상우유 유선 유방통증 유선 유방의냉감 유선 유방의부종 유선 유방이단단함 유선 유방의괴저편박리 유선 유방의열감 유선의종대 종괴 유방비대 여성형유방 전신허약 부전마비 마비 탈수 피부 귀 다리냉감 피부누관 공동형성
195,유선의 비후증 (Mammary gland hyperplasia),"개, 고양이","하나 이상의 유선이 프로게스테론에 의해 종대됨",무기력 침울 졸림 생기없음유방염유선 유방통증유선 유방이단단함 유선의종대 종괴 유방비대 여성형유방 유즙분비과다 피부괴사 가피 괴저 피부의궤양 미란 찰과상
196,태반부의 퇴축부전(Subinvolution of placental sites),"개, 고양이","정상적인 분만후 자궁 퇴축의 실패 또는 지연",복강외부압박에따른통증 복강내부종괴 종창 유착 빈맥 빠른맥박 심박 외음부 질의점액성분비물 전신허약 부전마비 마비 점막 피부창백 빈혈 출혈 응고부전
197,유천포창(Bullous pemphigoid),"개, 고양이"," 피부 또는 구강의 자가면역성 소수포성 궤양성 피부질병.",구강점막의궤양 수포 플라크(반) 무기력 침울 졸림 생기없음 발열 고열 비강점막의궤양 수포 미란 열상 절창 구진 농포 소양감 가려움 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 외음부궤양 수포 미란 절창 열상 구진 농포 음경 포피에구진 농포 수포 궤양 인두의궤양 수포 미란 구진 체중감소 탈모 무모증 피부구진 피부또는피하의종창 종괴 결절 피부수포 대수포 물집 피부인설 비듬 비늘 피부통증 피부 털 깃털이축축함 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 혀의궤양 수포 미란 궤양 수포 절창 열상 호흡시이상한냄새 구강의악취
198,"음식 알러지(Food allergy, dietary hypersensitivity)","개, 고양이","계절에 상관없이 사료나 음식 중에서 하나 또는 그 이상의 성분의 섭취로 소양감을 일으키는 질환",과각화증 두꺼운피부 구토 귀긁기 귀의화농성 점액양분비물 귓밥이많음 악취 무기력 침울 졸림 생기없음 방귀 복강외부압박에따른통증 복명(장연동음)의증가 산통 복통 설사 하리 소양감 가려움 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 이급후증 배변곤란 점액변 점액양분변 탈모 무모증 피부구진 피부균열 열구 피부농포 피부또는피하의종창 종괴 결절 피부부종 피부색소과잉침착 피부인설 비듬 비늘 피부통증 피부팽진 발진 피부플라크(반) 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 혈변 혈변 분변내잠혈
199,귀개선충증 감염증(Ear mites ; otodectic infestation),"개, 고양이"," Otodectes cynotis 라는 기생충에 의해 개, 고양이의 외이도에 극심한 자극을 일으키는 과민반응을 유발하는 질병",귀긁기 귀의진드기 응애또는기생충분비물 귀의화농성 점액양분비물 귓밥이많음 악취 머리흔들기 머리 얼굴 턱 귀의통증 소양감 가려움 탈모 무모증 피부인설 비듬 비늘 피부통증 피부 털 깃털에기생충 피부의가피 딱지 피부홍반 염증 발적
200,파행(Lameless),개,"통증이나 상처에 대한 반응으로 걸음걸이와 이동에 장애를 받는 것", 골반 둔부통증 뒷다리파행 경직 절름발이
201,자궁 무력증(Uterine inertia),개,"원발성 및 속발성 원인으로 인해 분만시 자궁근육의 수축이 안되어 태아 분만이 되지 않음",난산
202,"근병증- 전신성, 다발성 근염, 피부근염(Myopathy, generalized inflammatory-polymyositis, dermatomyositis)","개, 고양이","#다발성 근염: 림프구 침윤에 의해 손상받은 골격근의 비화농성 염증과정#피부근염: 특징적인 피부 증상과 관련된 근염",개구장애 개구곤란 골반위축 둔부위축 야윔 둔부위축 야윔 과도한침흘림 유연 입에거품 구역질 구토 기립불능 다우너 다호흡 빠른호흡(빈호흡) 과호흡 뒷다리양쪽부전마비 무기력 마비 뒷다리반사이상(증가나감소) 뒷다리통증 뒷다리파행 경직 절름발이 등부위위축 야윔 머리 얼굴 귀 턱 코의종창 종괴 머리 얼굴 턱 귀의통증 머리 얼굴 턱 혀위축 수척 야윔 목소리변성 무기력 침울 졸림 생기없음 발열 고열 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 사지마비 무기력 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 안구돌출 앞다리반사이상(증가나감소) 앞다리허약 무기력 부전마비 마비 앞다리통증 앞다리파행 경직 절름발이 연하곤란 연하장애 운동기피 쉽게지침 운동실조 협조불능 절뚝거림 넘어짐 이동거부 저작곤란 잘씹지못함 전신파행 경직 절름발이 전신허약 부전마비 마비 지각과민 예민함 과다운동 체중감소 호흡곤란 개구호흡 그르렁거림 가쁜호흡
203,질염(Vaginitis),"개, 고양이","질 또는 질 전정의 염증",무기력 침울 졸림 생기없음 외음부 질의악취냄새 분비물 출혈 응고부전 복강내부종괴 종창 유착 외음부 질의점액성분비물 질 외음부의괴사 외음부 질의통증 외음부 질의화농성분비물 피부부종 피부홍반 염증 발적 이급후증 배변곤란 질 자궁경부의궤양 수포 열창 구진 농포 외음부궤양 수포 미란 절창 열상 구진 농포
204,라이노스포리듐증(Rhinosporidiosis),개," 개의 비강점막을 감염시키는 희귀한 곰팡이 질환으로 비공으로 돌출된 양배추꽃 모양의 덩어리를 형성함",다호흡 빠른호흡(빈호흡) 과호흡 머리 얼굴 귀 턱 코의종창 종괴 비출혈 코피 재채기 점액양비강분비물 장액성 수양성 호흡곤란 개구호흡 그르렁거림 가쁜호흡 호흡시이상한냄새 구강의악취 화농성비강분비물
205,"당뇨병, 케토산증형, Ⅰ형(Diabetes mellitus, ketoacidotic)","개, 고양이","고혈당증, 케톤혈증, 대사성 산증, 탈수, 전해질 결핍을 주증상으로 하는 절대적인 또는 상대적인 인슐린의 결핍에 따른 이차적인 질병",간 비장종대 비장종대 간종대 거친피모 곤두선털 거품섞인오줌 기뇨골반위축 구토 눈물흘림 장액성분비물 축축한눈 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 당뇨 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 뒷다리위축 야윔 뒷다리파행 경직 절름발이 등부위위축 야윔 망막출혈 망막혈관크기이상 목 가슴 위축 야윈흉곽 무기력 침울 졸림 생기없음 방광염발음 백내장 수정체혼탁 복강내부종괴 종창 유착 복부팽만 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 실명 시력상실 앞다리반사이상(증가나감소) 앞다리위축 야윔 앞다리허약 무기력 부전마비 마비 전신허약 부전마비 마비 점막 피부창백 빈혈 체중감소 케톤뇨 우유나뇨중에케톤체 탈모 무모증 탈수 피부인설 비듬 비늘 피부 털의건조 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 황달
206,"당뇨병, 비케토산증형, Ⅱ형(Diabetes mellitus, nonketotic hyperosmolar syndrom)","개, 고양이","심한 고혈당증, 고삼투압증, 심한 탈수, 빈뇨, 혈청 케톤의 감소, 경·중증도의 대사성 산증, 중추신경계 억제를 특징으로 하는 질병",간 비장종대 비장종대 간종대 거친피모 곤두선털 거품섞인오줌 기뇨골반위축 구토 눈물흘림 장액성분비물 축축한눈 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 당뇨 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 뒷다리위축 야윔 뒷다리파행 경직 절름발이 등부위위축 야윔 망막출혈 망막혈관크기이상 목 가슴 위축 야윈흉곽 무기력 침울 졸림 생기없음 방광염발음 백내장 수정체혼탁 복강내부종괴 종창 유착 복부팽만 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 실명 시력상실 앞다리반사이상(증가나감소) 앞다리위축 야윔 앞다리허약 무기력 부전마비 마비 전신허약 부전마비 마비 점막 피부창백 빈혈 체중감소 케톤뇨 우유나뇨중에케톤체 탈모 무모증 탈수 피부인설 비듬 비늘 피부 털의건조 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 황달
207,"당뇨병, 비합병증성(Diabetes mellitus, uncomplicated)","개, 고양이"," 절대적 또는 상대적인 인슐린의 결핍으로 인한 탄수화물, 지방, 단백질의 대사장애 ",간 비장종대 비장종대 간종대 거친피모 곤두선털 거품섞인오줌 기뇨골반위축 구토 눈물흘림 장액성분비물 축축한눈 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 당뇨 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 뒷다리위축 야윔 뒷다리파행 경직 절름발이 등부위위축 야윔 망막출혈 망막혈관크기이상 목 가슴 위축 야윈흉곽 무기력 침울 졸림 생기없음 방광염발음 백내장 수정체혼탁 복강내부종괴 종창 유착 복부팽만 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 실명 시력상실 앞다리반사이상(증가나감소) 앞다리위축 야윔 앞다리허약 무기력 부전마비 마비 전신허약 부전마비 마비 점막 피부창백 빈혈 체중감소 케톤뇨 우유나뇨중에케톤체 탈모 무모증 탈수 피부인설 비듬 비늘 피부 털의건조 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 황달
208,만성 이첨판 폐쇄부전(Chronic mitral vavular insufficiency:CMVI 만성 이첨판 폐쇄부전),"개, 고양이","이첨판의 폐쇄부전으로 인한 심혈관계 이상",3도방실심완전차단 간 비장종대 비장종대 간종대 걷다앞으로넘어짐 목적없이배회 구강점막의울혈 홍반 발적 구토 기침 다호흡 빠른호흡(빈호흡) 과호흡 동빈맥 동성부정맥 말초정맥확장 경정맥확장 맥박결손 명치(전흉부)부위진전의촉진 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 복강내부종괴 종창 유착 복부팽만 복수 부정맥 불규칙한심박및맥박 분마율동 분마성리듬 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음  비정상적또는공격적행동 습성이바뀜 빈맥 빠른맥박 심박 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심방세동 심방조기박동 심방확장 좌 우 혹은양쪽 심실기외수축 다발성혹은단발성 심실빈맥 다발성혹은단발성 심실확장 좌 우혹은양쪽 심잡음 운동기피 쉽게지침 유주심박조율기 향도잡이 청색증 피부나점막이푸름 피(P)파결손 호흡곤란 개구호흡 그르렁거림 가쁜호흡
209,역류(Regurgitation),"개, 고양이","상부 식도 괄약근 근접부로 섭취물 흐름이 수동적으로 역류하는 현상",기침 기침시객혈 뒷다리파행 경직 절름발이 맥박강도증가 무기력 침울 졸림 생기없음 발열 고열 발육정지 체중증가없음 성장지연 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심실확장 좌 우혹은양쪽 심잡음 앞다리파행 경직 절름발이 운동기피 쉽게지침 전신파행 경직 절름발이 전신허약 부전마비 마비 호흡곤란 개구호흡 그르렁거림 가쁜호흡
210,와블러증후군 (Wobbler syndrome: cervical vertebral instability),개,"#큰 품종의 개에서 경추가시(주로 뒤쪽)에 영향을 주는 압박성 척수 병변;  디스크 또는 척수#[디스크]:성숙견에서 척추인대 비대를 동반하는 typeⅡ 허니아로부터 발생, 관절 불안정에 의한 것일 수 있음; C5~6과 C6~7 영향 받음#[척추]:어린개에서 척주 기형으로 발생, 모든 경추관절이 영향 받음",거리감각불능 거리감각과대및과소 근긴장증 근경직증 기립불능 다우너 뒷다리양쪽부전마비 무기력 마비 목 경부 목구멍통증 목의경직 뻣뻣한목 비정상적인자세 사지마비 무기력 앞다리반사이상(증가나감소) 앞다리위축 야윔 앞다리파행 경직 절름발이 운동실조 협조불능 절뚝거림 넘어짐 이동거부 피하지방조직층반사이상(증가나감소)
211,망막출혈(Retinal hemorrhage),"개, 고양이","부분적이거나 전체적으로 망막층(모든층 또는 일부의 층)에서 발생하는 출혈"," 대안구증 녹내장 망막박리 실명 시력상실 안구전방출혈 ""블랙아이"""
212,"고양이의 비대성 심근증(Cardiomyopathy, hypertrophic- cats)",고양이,"비대성 심근증은 심실벽 또는 이완되지 않는 좌심실의 심실간중격이 비정상으로 집중적으로 비대된 것이 특징으로 다른 심장의 질병이나 전신질환과는 별개로 발생함", 1도방실심차단 3도방실심완전차단 각차단 좌각차단 우각차단 양각차단 간 비장종대 비장종대 간종대 경정맥박동 구토 급사 돌연사 기침 다호흡 빠른호흡(빈호흡) 과호흡 말초정맥확장 경정맥확장 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 복부팽만 복수 부정맥 불규칙한심박및맥박 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 심방빈맥 빈박 설사 하리 수척 건강상태불량 증체율불량 수축기클릭 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심방조기박동 심방빈맥 빈박 심잡음 운동기피 쉽게지침 전신허약 부전마비 마비 청색증 피부나점막이푸름 체중감소 폐포음감소 호흡음이없음 호흡곤란 개구호흡 그르렁거림 가쁜호흡
213,"치주농양, 치근첨단농양, 근첨주위농양(Tooth root abscess, apical abscess)","개, 고양이",치근에 발생하는 농양, 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 이빨흔들림 풍치 이빨의결손 이빨수감소 이빨색깔 이빨의이상 이빨에금이감 이빨파열 저작곤란 잘씹지못함
214,"편평세포암 - 코평편(Squamous cell carcinoma, nasal planum)","개, 고양이"," 코평면의 편평상피세포 유래의 악성 종양",각막혈관신생 판누스 구강 혀의종창 종괴 다호흡 빠른호흡(빈호흡) 과호흡 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리파행 경직 절름발이 뒷발통증 뒷발 발가락종창 종괴 림프절종대 림프절병증 종창 종괴 망막박리 망막출혈 망막혈관크기이상 머리 얼굴 귀 턱무기력 처짐 부전마비 마비 무기력 침울 졸림 생기없음 배뇨곤란 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 빛에대한동공의비정상반응 산동 확장된동공 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 안구진탕 안구불수의적운동 안와 안와주위 결막부종 안구종괴 앞다리종창 종괴(관절부/비관절부위포함) 앞다리파행 경직 절름발이 앞발통증 앞발 발가락종창 종괴 연하곤란 연하장애 운동실조 협조불능 절뚝거림 넘어짐 유두부종 시신경크기증가 이동거부 전신파행 경직 절름발이 체중감소 탈모 무모증 피부괴사 가피 괴저 피부또는피하의종창 종괴 결절 피부통증 피부색소침착감소 백반증 백피증 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 항문직장부위종창 종괴 호흡곤란 개구호흡 그르렁거림 가쁜호흡
